,best,strategy,acq_func,performance,params,xratio,delay,week
1,1,BBvolumeStrategy,ei,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,57.6900866,41
2,1,BBvolumeStrategy,poi,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,4.349999189,41
0,1,BBvolumeStrategy,ucb,1.235583774,"{'bb_mult_factor': 1.0, 'bb_periods': 20.0, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 20.0}",23.79288773,21.07000041,43
1,1,BBvolumeStrategy,ei,1.150393629,"{'bb_mult_factor': 5.0, 'bb_periods': 11.35779362117349, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 1.0}",27.15799027,31.87800074,43
2,1,BBvolumeStrategy,poi,1.17144433,"{'bb_mult_factor': 1.6642195135791429, 'bb_periods': 12.748031494965547, 'vol_mult_factor_down': 3.5123442578124475, 'vol_mult_factor_up': 4.267601527999612, 'vol_periods': 14.405777237170964}",34.12786569,8.780040979,43
0,1,BBvolumeStrategy,ucb,1.24875718,"{'bb_mult_factor': 1.0, 'bb_periods': 20.0, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 1.0, 'vol_periods': 11.338078875951135}",30.90601537,49.38667035,45
1,1,BBvolumeStrategy,ei,1.314155025,"{'bb_mult_factor': 1.0, 'bb_periods': 15.119607004075267, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 8.830930425983944}",25.66276792,32.30662537,45
2,1,BBvolumeStrategy,poi,1.348577096,"{'bb_mult_factor': 1.7087202651237008, 'bb_periods': 9.47241412541062, 'vol_mult_factor_down': 2.1037231768614357, 'vol_mult_factor_up': 2.2281772639489272, 'vol_periods': 2.9886278232027044}",31.02089741,8.283940792,45
0,1,BBvolumeStrategy,ucb,1.187813607,"{'bb_mult_factor': 1.0, 'bb_periods': 20.0, 'vol_mult_factor_down': 1.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 1.0}",25.95317725,16.85220003,47
1,1,BBvolumeStrategy,ei,1.224605235,"{'bb_mult_factor': 1.118079060478928, 'bb_periods': 19.856878071369174, 'vol_mult_factor_down': 3.9877817521212844, 'vol_mult_factor_up': 4.656300735454783, 'vol_periods': 19.99053142804819}",34.04255201,48.78399825,47
2,1,BBvolumeStrategy,poi,1.119352016,"{'bb_mult_factor': 3.267682153392976, 'bb_periods': 17.06298781859223, 'vol_mult_factor_down': 4.917566539269445, 'vol_mult_factor_up': 2.7736014546257546, 'vol_periods': 5.0796120058686505}",27.87341783,14.25798607,47
0,1,BBvolumeStrategy,ucb,1.247676984,"{'bb_mult_factor': 5.0, 'bb_periods': 4.592393080391835, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 9.784708597822217}",27.28979298,29.51035261,49
1,1,BBvolumeStrategy,ei,1.223980614,"{'bb_mult_factor': 5.0, 'bb_periods': 6.876120955504231, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 15.161158245533422}",27.28979298,55.17599607,49
2,1,BBvolumeStrategy,poi,1.573818409,"{'bb_mult_factor': 1.7087202651237008, 'bb_periods': 9.47241412541062, 'vol_mult_factor_down': 2.1037231768614357, 'vol_mult_factor_up': 2.2281772639489272, 'vol_periods': 2.9886278232027044}",28.38818623,18.84111953,49
0,1,BBvolumeStrategy,ucb,1.392537948,"{'bb_mult_factor': 1.0, 'bb_periods': 20.0, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 2.774110117008593}",25.0899058,19.57982731,51
1,1,BBvolumeStrategy,ei,1.051552865,"{'bb_mult_factor': 5.0, 'bb_periods': 5.494915261918359, 'vol_mult_factor_down': 1.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 6.31012091778269}",25.8546535,28.47750497,51
2,1,BBvolumeStrategy,poi,1.461783795,"{'bb_mult_factor': 1.7087202651237008, 'bb_periods': 9.47241412541062, 'vol_mult_factor_down': 2.1037231768614357, 'vol_mult_factor_up': 2.2281772639489272, 'vol_periods': 2.9886278232027044}",33.68702257,14.28537512,51
